Corpus,Dataset,Language,Relation Type,Data Type,Extraction Method,N Concepts,N Features,F1 Score,Std
WeeWiki,mcrae-single,en,colour-attributes,with,sentence,276,6,0.8876811594202899,0.027113459324448794
WeeWiki,mcrae-single,en,colour-attributes,without,sentence,276,6,0.8985507246376812,0.035867735277578444
WeeWiki,mcrae-single,en,component-attributes,with,sentence,220,6,0.8591879550783661,0.016099352917549437
WeeWiki,mcrae-single,en,component-attributes,without,sentence,220,6,0.8590645439960509,0.017271379867732722
WeeWiki,mcrae-single,en,material-attributes,with,sentence,288,4,0.861111111111111,0.017704928866641604
WeeWiki,mcrae-single,en,material-attributes,without,sentence,288,4,0.8472222222222222,0.021404215288086736
WeeWiki,mcrae-single,en,size-and-shape-attributes,with,sentence,466,4,0.8776674937965261,0.024208495732528056
WeeWiki,mcrae-single,en,size-and-shape-attributes,without,sentence,466,4,0.8690239867659223,0.0443394454462622
WeeWiki,mcrae-single,en,tactile-attributes,with,sentence,234,7,0.8418803418803419,0.026343649585337504
WeeWiki,mcrae-single,en,tactile-attributes,without,sentence,234,7,0.8205128205128206,0.04187161953475517
WeeWiki,mcrae-single,en,colour-attributes,with,syntactic,276,6,0.8659420289855072,0.022334833344090456
WeeWiki,mcrae-single,en,colour-attributes,without,syntactic,276,6,0.8731884057971016,0.018474708382582496
WeeWiki,mcrae-single,en,component-attributes,with,syntactic,220,6,0.8907194866098975,0.033933223042348824
WeeWiki,mcrae-single,en,component-attributes,without,syntactic,220,6,0.8864000987288659,0.012540958646664335
WeeWiki,mcrae-single,en,material-attributes,with,syntactic,288,4,0.8958333333333334,0.05103103630798288
WeeWiki,mcrae-single,en,material-attributes,without,syntactic,288,4,0.8854166666666666,0.03897559777889522
WeeWiki,mcrae-single,en,size-and-shape-attributes,with,syntactic,466,4,0.8583402260821615,0.009513871221919937
WeeWiki,mcrae-single,en,size-and-shape-attributes,without,syntactic,466,4,0.8648469809760133,0.027140952764342998
WeeWiki,mcrae-single,en,tactile-attributes,with,syntactic,234,7,0.8205128205128204,0.03140371465106637
WeeWiki,mcrae-single,en,tactile-attributes,without,syntactic,234,7,0.8119658119658119,0.03197997766473452
WeeWiki,mcrae-single,en,colour-attributes,with,window,276,6,0.8731884057971014,0.03116784517044426
WeeWiki,mcrae-single,en,colour-attributes,without,window,276,6,0.8695652173913043,0.023480944559448737
WeeWiki,mcrae-single,en,component-attributes,with,window,220,6,0.9181784524250277,0.02237589608620891
WeeWiki,mcrae-single,en,component-attributes,without,window,220,6,0.9228063680118473,0.025530439286505214
WeeWiki,mcrae-single,en,material-attributes,with,window,288,4,0.8819444444444445,0.038351947976344655
WeeWiki,mcrae-single,en,material-attributes,without,window,288,4,0.8888888888888888,0.021404215288086736
WeeWiki,mcrae-single,en,size-and-shape-attributes,with,window,466,4,0.8712020953956437,0.016091036146000583
WeeWiki,mcrae-single,en,size-and-shape-attributes,without,window,466,4,0.8776674937965261,0.014055854573919748
WeeWiki,mcrae-single,en,tactile-attributes,with,window,234,7,0.8376068376068376,0.04946938847346246
WeeWiki,mcrae-single,en,tactile-attributes,without,window,234,7,0.8119658119658121,0.03963084827134913
WeeWiki,norms-single,en,color-attributes,with,sentence,266,5,0.8421433435478379,0.008505487737951406
WeeWiki,norms-single,en,color-attributes,without,sentence,266,5,0.838398025195778,0.013431981842293828
WeeWiki,norms-single,en,component-attributes,with,sentence,70,2,0.8568840579710145,0.021889576039120597
