Corpus,Dataset,Language,Relation Type,Data Type,Extraction Method,N Concepts,N Features,F1 Score,Std
WeeWiki,mcrae-single,en,colour-attributes,with,sentence,138,6,0.391304347826087,0.06399826714730322
WeeWiki,mcrae-single,en,colour-attributes,without,sentence,138,6,0.3768115942028985,0.071735470555157
WeeWiki,mcrae-single,en,component-attributes,with,sentence,110,6,0.7452452452452453,0.047041722272309044
WeeWiki,mcrae-single,en,component-attributes,without,sentence,110,6,0.735985985985986,0.053016447227342056
WeeWiki,mcrae-single,en,material-attributes,with,sentence,144,4,0.7083333333333334,0.04500514373894343
WeeWiki,mcrae-single,en,material-attributes,without,sentence,144,4,0.6527777777777777,0.0856168611523469
WeeWiki,mcrae-single,en,size-and-shape-attributes,with,sentence,233,4,0.5752580752580753,0.03608280524621618
WeeWiki,mcrae-single,en,size-and-shape-attributes,without,sentence,233,4,0.558053058053058,0.019361964163558853
WeeWiki,mcrae-single,en,tactile-attributes,with,sentence,117,7,0.49572649572649574,0.09669836323918599
WeeWiki,mcrae-single,en,tactile-attributes,without,sentence,117,7,0.5128205128205129,0.10467904883688796
WeeWiki,mcrae-single,en,colour-attributes,with,syntactic,138,6,0.4057971014492754,0.08755830415648243
WeeWiki,mcrae-single,en,colour-attributes,without,syntactic,138,6,0.34782608695652173,0.06399826714730324
WeeWiki,mcrae-single,en,component-attributes,with,syntactic,110,6,0.7720220220220219,0.05912794374362233
WeeWiki,mcrae-single,en,component-attributes,without,syntactic,110,6,0.7717717717717717,0.07513511113031116
WeeWiki,mcrae-single,en,material-attributes,with,syntactic,144,4,0.6736111111111112,0.04910463758239917
WeeWiki,mcrae-single,en,material-attributes,without,syntactic,144,4,0.6805555555555555,0.08729031312483702
WeeWiki,mcrae-single,en,size-and-shape-attributes,with,syntactic,233,4,0.5708735708735708,0.014186969304259238
WeeWiki,mcrae-single,en,size-and-shape-attributes,without,syntactic,233,4,0.5582750582750583,0.06110457812664451
WeeWiki,mcrae-single,en,tactile-attributes,with,syntactic,117,7,0.5128205128205128,0.06280742930213278
WeeWiki,mcrae-single,en,tactile-attributes,without,syntactic,117,7,0.547008547008547,0.10537459834135002
WeeWiki,mcrae-single,en,colour-attributes,with,window,138,6,0.3913043478260869,0.04696188911889753
WeeWiki,mcrae-single,en,colour-attributes,without,window,138,6,0.38405797101449274,0.057058028072549345
WeeWiki,mcrae-single,en,component-attributes,with,window,110,6,0.7537537537537538,0.06256056052852753
WeeWiki,mcrae-single,en,component-attributes,without,window,110,6,0.7902902902902903,0.049379897835517876
WeeWiki,mcrae-single,en,material-attributes,with,window,144,4,0.6666666666666666,0.0450051437389435
WeeWiki,mcrae-single,en,material-attributes,without,window,144,4,0.6597222222222223,0.06874649261535877
WeeWiki,mcrae-single,en,size-and-shape-attributes,with,window,233,4,0.5924630924630924,0.04802028245848569
WeeWiki,mcrae-single,en,size-and-shape-attributes,without,window,233,4,0.557997557997558,0.014134110992417858
WeeWiki,mcrae-single,en,tactile-attributes,with,window,117,7,0.5042735042735043,0.08716272672808179
WeeWiki,mcrae-single,en,tactile-attributes,without,window,117,7,0.5384615384615384,0.10467904883688794
